#{"t_start": 1766258973.9258404, "env_id": "None"}
r,l,t
78.26007,26,145.554832
-27.580063,26,145.555184
93.77053,31,145.555477
155.85754,31,145.555772
111.748886,31,145.556056
27.734568,31,145.556447
65.123566,31,145.556957
96.69371,133,145.574409
369.90576,133,145.575165
463.81137,133,145.575536
409.44128,133,145.575888
-206.31926,133,145.576239
236.75223,45,145.592604
122.128876,45,145.593035
93.69285,45,145.593335
94.74317,45,145.59358
-546.8559,45,145.59379
49.111244,33,145.644243
57.403687,33,145.644788
71.944275,33,145.645164
216.776,33,145.645504
15.452681,33,145.645839
-4.1630054,8,145.67171
48.901436,8,145.672168
32.156006,8,145.672513
94.58324,8,145.672805
22.987402,8,145.673074
221.04996,68,145.712723
197.63824,68,145.713372
182.52893,68,145.713671
26.473177,68,145.713941
-1948.4812,68,145.714156
3.6726732,3,145.754326
13.564421,3,145.754797
89.266556,3,145.755088
0.8004682,3,145.75536
-6.0851626,3,145.75558
-13.20742,17,145.812451
31.052637,17,145.813062
18.89414,17,145.813607
38.714676,17,145.814207
105.71438,17,145.814846
142.0937,18,145.815284
34.892803,18,145.815798
42.74659,18,145.816311
11.176953,18,145.816809
-314.2364,18,145.817143
5.871293,3,169.26357
5.423045,3,169.264142
88.44977,3,169.264529
-0.3297811,3,169.264824
0.59449244,3,169.265116
7.0233183,5,169.342844
8.48974,5,169.347144
13.475984,5,169.347595
114.505936,5,169.348002
-6.286665,5,169.348349
56.31201,24,169.456409
36.98226,24,169.459149
137.0544,24,169.459625
54.028076,24,169.459952
-611.5022,24,169.460227
5.021444,8,169.493872
12.81005,8,169.494599
115.61762,8,169.495052
-6.901413,8,169.495348
-35.79727,8,169.495663
49.546116,34,169.528647
74.6653,34,169.529081
180.63428,34,169.529332
61.589943,34,169.529553
-331.80722,34,169.529787
219.53459,70,169.574297
106.36166,70,169.574721
106.96447,70,169.575089
-15.9641,70,169.575382
-492.41278,70,169.57571
37.75509,36,169.619224
124.76871,36,169.619736
92.76765,36,169.620105
48.919834,36,169.620423
